ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
669692,m,5/4/1992,73,state board,2009,71,state board,9699,2,B.Tech/B.E.,information technology,61,9699,1,Rajasthan,2013,180,365,310,0.074546265,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
48029,m,12/20/1988,86.17,rbse,2006,78.6,cbse,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2010,505,495,695,0.987207086,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
1268344,m,3/10/1990,78,icse,2009,75,cbse,7765,2,B.Tech/B.E.,mechanical engineering,73,7765,0,Uttar Pradesh,2014,630,555,570,0.066960707,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
1274612,m,9/17/1989,71.8,cbse,2007,68.2,cbse,267,2,B.Tech/B.E.,electronics and communication engineering,76.5,267,0,Punjab,2012,615,590,585,-1,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
230553,m,5/1/1992,66.66,u p board,2005,80.4,u p board,64,2,B.Tech/B.E.,information technology,64.29,64,0,Uttar Pradesh,2011,525,505,575,0.901489571,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
1259836,m,2/26/1992,85,state board,2009,81,state board,1906,2,B.Tech/B.E.,computer science & engineering,76.7,1906,1,West Bengal,2013,455,530,440,0.622642916,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
634352,f,4/4/1990,83.6,cbse,2008,74,cbse,55,2,B.Tech/B.E.,information technology,71,55,0,Uttar Pradesh,2013,615,595,720,0.987207086,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
977034,m,6/18/1990,61.69,state board,2008,60.66,state board,285,1,MCA,computer application,77.5,285,0,Punjab,2014,440,605,520,0.356536488,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
668869,m,9/1/1991,85,cbse,2009,82,cbse,6566,2,B.Tech/B.E.,electronics and communication engineering,81,6566,1,Karnataka,2013,730,525,690,0.694479328,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
915600,m,6/26/1991,80.13,state board,2008,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2012,590,440,385,0.996744487,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
628753,m,12/22/1991,82.5,cbse,2009,85,state board,11352,2,B.Tech/B.E.,information technology,75,11352,1,Tamil Nadu,2013,545,485,530,0.600057182,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
1036215,m,5/3/1992,63.5,state board,2010,65.72,state board,5081,2,B.Tech/B.E.,computer science & engineering,60,5081,0,Andhra Pradesh,2014,430,460,320,0.23780284,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
955352,m,12/8/1991,64,cbse,2010,62,cbse,17244,2,B.Tech/B.E.,computer science & engineering,75,17244,0,Uttar Pradesh,2014,345,470,365,0.356536488,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
449417,m,1/1/1988,76,"bse, odisha",2005,61,chse,2088,2,MCA,computer application,85,2088,0,Orissa,2012,464,475,575,0.960903087,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
1038837,m,9/21/1990,73,cbse,2008,76,cbse,10930,2,B.Tech/B.E.,information technology,74,10930,1,West Bengal,2013,465,570,415,0.356536488,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
309954,m,12/8/1991,91,rajasthan board of secondary education,2008,83,rajasthan board of secondary education,5050,2,B.Tech/B.E.,computer engineering,71,5050,0,Rajasthan,2012,475,495,565,0.930370607,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
54289,m,9/27/1986,65,cbse,2007,47.6,cbse,1753,2,MCA,computer application,63,1753,0,Karnataka,2013,415,365,475,0.600057182,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
615097,m,11/14/1991,70.16,state board,2007,66.8,state board,272,2,MCA,computer application,69.7,272,0,Punjab,2014,275,485,530,0.486747008,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
96613,m,10/7/1988,74.6,cbse,2005,80.8,cbse,67,2,B.Tech/B.E.,electronics and communication engineering,72.45,67,0,Uttar Pradesh,2010,535,415,635,0.960603252,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
542950,m,8/21/1991,66.5,state board,2008,66.4,state board,172,2,B.Tech/B.E.,electrical engineering,66,172,0,Uttar Pradesh,2013,500,560,560,0.376059587,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
781196,m,2/9/1991,78.4,cbse,2009,58.4,cbse,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2013,545,535,605,0.986525019,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
38441,m,11/19/1984,62,up board,2002,62,up board,395,2,MCA,computer application,72.02,395,0,Uttar Pradesh,2010,505,445,575,0.864685413,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
1269557,m,7/30/1990,52.93,state board,2008,64,state board,4793,2,B.Tech/B.E.,information technology,73,4793,0,Maharashtra,2014,325,375,370,0.911395278,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
512864,m,9/10/1990,82,council for indian school certificate examination,2008,81,council for indian school certificate examination,77,2,B.Tech/B.E.,electronics and electrical engineering,64,77,0,Uttar Pradesh,2012,625,585,530,0.376059587,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
390353,m,4/14/1990,78,kea,2008,69,kea,3717,2,B.Tech/B.E.,electronics and communication engineering,75,3717,1,Karnataka,2012,355,485,425,0.0587928,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.169,300000
1230200,m,7/12/1990,65,state board,2008,65.4,state board,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2014,490,615,725,0.744758354,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
206976,m,3/2/1990,70.2,0,2007,68.4,0,49,1,B.Tech/B.E.,electronics and electrical engineering,60.4,49,0,Uttar Pradesh,2011,544,415,504,0.0587928,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
908780,f,10/14/1993,93,state board,2010,89,state board,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2014,345,495,325,0.622642916,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608,150000
982729,m,2/24/1993,53.4,cbse,2010,66,cbse,387,2,B.Tech/B.E.,information technology,60.62,387,0,Uttar Pradesh,2014,300,520,330,0.744758354,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
385303,m,7/2/1990,84.2,0,2008,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2012,525,605,595,0.376059587,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
355322,m,6/3/1991,71.5,uttar pradesh,2007,60,cbse,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2012,415,355,455,0.24545566,335,-1,-1,-1,-1,-1,-1,0.51,1.1248,-0.7794,-0.2609,-0.6035,240000
730991,m,10/7/1990,81.5,state board,2009,80.2,state board,11160,2,B.Tech/B.E.,computer science & engineering,82,11160,1,West Bengal,2013,430,510,415,0.3423149,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
326762,m,7/26/1991,63,cbse,2008,66,cbse,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2012,435,465,465,0.704090412,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32553,-1.2354,450000
125654,m,5/20/1987,74,"board of secondary education,andhara pradesh",2004,86.1,"board of intermediate education,hyderabad",3694,2,MCA,computer application,76,3694,0,Andhra Pradesh,2010,405,385,585,0.635978756,445,-1,-1,-1,-1,-1,-1,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,380000
984121,f,3/20/1992,91.6,state board,2010,86.5,state board,2952,2,B.Tech/B.E.,electronics and communication engineering,80.2,2952,1,Karnataka,2014,465,510,570,0.783303537,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973,300000
744799,m,6/1/1992,87.5,state board,2009,89.9,state board,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2013,500,415,485,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.8784,0.6248,-0.3612,-0.6692,300000
1048133,m,7/22/1992,78.5,state board,2009,83,state board,16171,2,B.Tech/B.E.,electronics and communication engineering,77.72,16171,0,Telangana,2013,350,470,405,0.20739217,355,260,-1,-1,-1,-1,-1,1.7081,0.7119,0.6248,-1.3753,0.6721,200000
1094787,m,2/9/1992,79.5,state board,2009,63.2,state board,7814,2,B.Tech/B.E.,electronics and communication engineering,63.3,7814,0,Orissa,2014,615,425,440,0.493596387,405,324,-1,-1,-1,452,-1,-0.3027,1.0449,1.3933,0.1459,0.8637,170000
661812,f,9/23/1991,71,wbbse,2009,68,wbchse,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2013,345,570,220,0.843123727,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692,95000
818701,m,12/15/1989,66,state board,2006,61,state board,9508,2,B.Tech/B.E.,computer science & engineering,72.04,9508,0,Uttar Pradesh,2012,640,500,545,0.953899775,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608,335000
1063653,m,11/14/1991,74,cbse,2009,63,cbse,14278,2,B.Tech/B.E.,computer science & engineering,72,14278,0,Haryana,2013,490,530,370,0.04099931,405,-1,223,-1,-1,-1,-1,-1.5953,0.5454,-0.7585,0.5262,-0.6692,110000
189121,m,3/4/1990,91,matriculation board,2007,90.91,hisher seconadry examination(state board),4042,2,B.Tech/B.E.,electronics and communication engineering,83.2,4042,0,Tamil Nadu,2011,565,515,575,0.229481755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444,450000
640037,f,6/22/1991,89.44,state board,2009,75.33,state board,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2013,500,425,385,0.704090412,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973,200000
906284,m,7/26/1993,76,cbse,2010,64,cbse,10971,2,B.Tech/B.E.,computer science & engineering,67,10971,0,Uttar Pradesh,2014,555,450,470,0.486747008,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692,310000
330544,m,2/25/1991,77,state board,2008,75,state board,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2012,425,415,375,0.068445751,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234,200000
643957,m,12/22/1990,63,cbse,2009,74,cbse,462,2,B.Tech/B.E.,information science engineering,57,462,1,Karnataka,2013,545,500,455,0.600057182,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,240000
335906,f,5/24/1991,90.33,board of secondary education - andhra pradesh,2008,88.6,"board fo intermediate education, ap",1141,2,B.Tech/B.E.,computer engineering,69.55,1141,0,Andhra Pradesh,2012,725,505,415,0.704090412,465,-1,-1,-1,-1,-1,-1,0.51,1.4368,-0.0537,-1.34787,0.8973,300000
657409,m,1/8/1992,76.5,state board,2009,84,state board,11447,2,B.Tech/B.E.,mechanical engineering,87.2,11447,0,Tamil Nadu,2013,380,440,385,0.414337426,-1,-1,-1,366,-1,-1,-1,-0.3027,-0.2871,0.01,0.0192,-0.6692,75000
271549,m,2/26/1989,70,mp,2007,60,cbse,1618,2,B.Tech/B.E.,computer engineering,64.3,1618,0,Madhya Pradesh,2011,645,465,575,0.525922584,415,-1,-1,-1,-1,-1,-1,-0.4173,-1.8393,-0.344,1.1199,0.1864,330000
964017,m,2/14/1993,78,state board,2010,87.1,state board,1428,2,B.Tech/B.E.,information technology,65,1428,1,Telangana,2014,430,570,615,0.744758354,525,-1,438,-1,-1,-1,-1,-1.308,-1.1196,0.4711,0.0192,0.6721,140000
1066577,m,10/18/1992,89.5,state board,2010,73.4,state board,1906,2,B.Tech/B.E.,computer science & engineering,70.06,1906,1,West Bengal,2014,700,505,585,0.486747008,485,-1,376,-1,-1,-1,-1,0.2718,0.0459,-1.0659,-2.136,-1.244,320000
87319,m,10/27/1986,56.4,0,2006,72,0,403,2,B.Tech/B.E.,mechanical engineering,64,403,0,Madhya Pradesh,2010,305,395,455,0.654107475,165,-1,-1,420,-1,-1,-1,0.2009,-0.9033,0.3817,0.2973,0.3444,1210000
962441,m,8/10/1992,88.67,state board,2009,87.69,state board,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2014,545,645,735,0.879915203,-1,-1,-1,-1,-1,-1,-1,-0.7335,1.5444,-0.1437,-2.136,0.6721,700000
335296,m,8/17/1989,58.33,up,2007,73.33,up,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2012,395,325,585,0.744758354,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603,120000
833277,m,2/28/1991,64,cbse,2009,66,cbse,382,2,B.Tech/B.E.,information technology,69.2,382,0,Uttar Pradesh,2014,465,390,355,0.356536488,355,-1,346,-1,-1,-1,-1,-0.0154,-0.2871,0.3174,0.1459,0.0973,200000
239756,m,4/10/1989,85.92,karnataka,2007,79.87,karnataka state,1866,2,B.Tech/B.E.,computer engineering,71.07,1866,1,Karnataka,2011,495,565,454,0.968237496,605,-1,-1,-1,-1,-1,-1,0.0464,-0.1232,-0.4891,0.2973,0.9763,315000
555652,m,11/14/1990,88.8,cbse,2009,84.67,state board,1866,2,B.Tech/B.E.,electronics and electrical engineering,70,1866,1,Karnataka,2013,675,605,620,0.985461394,515,500,-1,-1,-1,-1,-1,-0.0154,1.0449,0.4711,1.0333,1.0554,305000
543832,m,8/1/1992,73.8,cbse,2008,75.4,cbse,55,2,B.Tech/B.E.,electronics and communication engineering,68.56,55,0,Uttar Pradesh,2013,405,485,680,0.376059587,365,300,-1,-1,-1,-1,-1,-2.272,0.0328,-0.2714,1.1199,-0.4455,335000
244546,m,3/3/1989,71,cbse,2007,58,cbse,3427,2,B.Tech/B.E.,electronics and communication engineering,70.1,3427,0,Orissa,2011,525,465,645,0.538386893,385,333,-1,-1,-1,260,-1,-1.9629,0.8128,0.2366,0.6498,0.0284,410000
610635,f,1/24/1991,81.4,cbse,2008,74,cbse,7700,1,B.Tech/B.E.,computer science & engineering,76.24,7700,1,Delhi,2013,485,525,620,0.953899775,535,-1,530,-1,-1,-1,-1,0.5591,0.5454,1.7007,-2.0092,1.247,200000
1076441,m,6/20/1991,88.1,state board,2009,91.1,state board,15854,2,B.Tech/B.E.,electronics and communication engineering,68.2,15854,1,Telangana,2013,535,435,500,0.20739217,305,260,-1,-1,-1,-1,-1,-0.159,0.8784,0.4711,0.2727,0.6721,315000
754392,m,2/18/1992,76,state board,2009,72,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.123016732,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776,120000
330813,f,5/31/1990,82.3,ssc,2007,96.6,intermediate board,9557,2,B.Tech/B.E.,electronics and communication engineering,83,9557,1,Telangana,2012,445,565,615,0.694479328,-1,366,-1,-1,-1,-1,-1,1.1283,1.1248,-0.344,-0.40777,0.8973,310000
1072316,m,10/15/1990,78,cbse,2009,68,cbse,1388,1,B.Tech/B.E.,electronics and electrical engineering,72.3,1388,0,Haryana,2013,510,590,510,0.783303537,395,388,-1,-1,-1,-1,-1,0.8463,-0.4536,0.3174,-0.995,0.0973,375000
1242113,m,6/3/1992,66.7,state board,2009,54.2,state board,6545,2,B.Tech/B.E.,instrumentation engineering,66.93,6545,0,Uttar Pradesh,2014,430,470,500,0.299597296,-1,260,-1,-1,-1,-1,-1,0.2718,0.3789,0.4711,-0.2344,0.4805,240000
1084099,m,12/19/1990,72,state board,2008,60,state board,8946,2,B.Tech/B.E.,computer science & engineering,63,8946,1,Telangana,2013,440,300,285,-1,-1,-1,-1,-1,-1,-1,-1,1.8517,0.8784,1.547,-0.2344,0.4805,295000
435378,m,4/8/1990,82,0,2008,62.3,0,11982,2,B.Tech/B.E.,mechanical engineering,61,11982,0,Orissa,2012,565,475,464,0.068445751,-1,-1,-1,254,-1,-1,-1,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278,360000
108999,f,2/26/1987,58.56,kseeb,2006,73,"directorate of technical education,banglore",1279,2,B.Tech/B.E.,electronics and communication engineering,61.8,1279,0,Karnataka,2010,445,465,565,0.376059587,375,300,-1,-1,-1,-1,-1,0.3555,0.6568,0.9623,0.6498,0.5024,260000
982410,m,7/5/1992,58,state board,2009,62,state board,184,2,B.Tech/B.E.,computer science & engineering,70.68,184,0,Uttar Pradesh,2014,405,395,390,0.486747008,495,-1,376,-1,-1,-1,-1,-0.7335,-0.1206,0.7785,0.653,0.0973,180000
1251678,m,12/23/1990,77,cbse,2007,78,cbse,6884,2,B.Tech/B.E.,computer science & engineering,75.03,6884,0,West Bengal,2013,500,545,665,0.842248322,485,-1,469,-1,-1,-1,-1,-1.4517,-0.6201,-1.8344,-0.1076,0.6721,100000
920550,f,8/10/1993,75.6,cbse,2010,83.2,cbse,55,2,B.Tech/B.E.,computer science & engineering,71.1,55,0,Uttar Pradesh,2014,475,460,530,0.744758354,405,-1,438,-1,-1,-1,-1,1.2772,1.5444,1.8543,1.0333,1.247,160000
134985,m,10/23/1983,75,wbbse,2002,61.7,wbchse,1424,2,MCA,computer application,79,1424,0,West Bengal,2010,365,365,425,0.377551419,375,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,310000
1062180,m,6/28/1991,74,cbse,2009,66.8,cbse,13801,2,B.Tech/B.E.,electronics and communication engineering,68.9,13801,0,Madhya Pradesh,2013,535,505,510,0.338786347,-1,292,-1,-1,-1,-1,-1,-0.5899,-2.2851,-0.7585,0.0192,-2.5853,80000
1219078,m,7/17/1991,92.2,icse,2009,75.6,cbse,11154,2,B.Tech/B.E.,computer science & engineering,81.5,11154,1,West Bengal,2014,685,565,645,0.953899775,595,-1,530,-1,-1,-1,-1,1.4208,1.2114,0.3174,-1.5021,0.2889,325000
333542,f,11/12/1990,84.5,ssc,2008,94.1,board of intermediate education,11168,2,B.Tech/B.E.,information technology,70.95,11168,1,Telangana,2012,485,445,575,0.413838256,385,-1,-1,-1,-1,-1,-1,-0.4173,0.1888,0.5269,-1.1422,0.0284,400000
619605,m,6/28/1991,89.4,cbse,2009,75.6,state board,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2013,590,610,635,0.840840969,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805,475000
921298,m,5/28/1993,76.2,cbse,2010,88,state board,1577,2,B.Tech/B.E.,information technology,69.8,1577,0,Tamil Nadu,2014,450,510,620,0.744758354,315,-1,438,-1,-1,-1,-1,1.4208,-0.1206,0.4711,-1.3753,1.6302,180000
